,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
7333,China,Shulan,76,Moderate,2,Good,76,Moderate,1,Good,59,Moderate
7334,Iran,Shush,98,Moderate,1,Good,97,Moderate,0,Good,98,Moderate
7335,Mexico,Silao,130,Unhealthy(SG),2,Good,16,Good,6,Good,130,Unhealthy(SG)
7336,Indonesia,Singosari,72,Moderate,1,Good,36,Good,1,Good,72,Moderate
7337,Russia,Skopin,42,Good,1,Good,35,Good,0,Good,42,Good
7338,Russia,Smolensk,35,Good,1,Good,35,Good,0,Good,13,Good
7339,Russia,Sobinka,37,Good,1,Good,33,Good,2,Good,37,Good
7341,Syria,Darayya,166,Unhealthy,1,Good,58,Moderate,1,Good,166,Unhealthy
7342,USA,Davis,50,Good,1,Good,26,Good,9,Good,50,Good
7343,Ethiopia,Debre Zeyit,64,Moderate,1,Good,25,Good,0,Good,64,Moderate
7344,USA,Dennis,37,Good,1,Good,37,Good,3,Good,18,Good
7345,Ukraine,Dergachi,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
7346,India,Deshnok,443,Hazardous,1,Good,39,Good,0,Good,320,Hazardous
7348,Switzerland,Dietikon,53,Moderate,1,Good,37,Good,1,Good,53,Moderate
7349,Mali,Djenne,67,Moderate,1,Good,18,Good,1,Good,67,Moderate
7350,Germany,Dobeln,69,Moderate,1,Good,31,Good,4,Good,69,Moderate
7351,Slovakia,Dolny Kubin,60,Moderate,1,Good,39,Good,0,Good,60,Moderate
